"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2,6e-18,3,-6e-35,8778,1,0,2e+01,-4e+01,0
2,3e-05,3,-5e-22,8778,1,0.07,2e+01,-4e+01,0
2,5e-06,3,-1e-21,8778,1,0.1,2e+01,-4e+01,0
2,-6e-05,3,-2e-21,8778,1,0.2,2e+01,-4e+01,0
2,-0.0002,3,-2e-21,8778,1,0.3,2e+01,-4e+01,0
2,-0.0003,3,-3e-21,8778,1,0.3,2e+01,-4e+01,0
2,-0.0005,3,-4e-21,2194,1,0.4,2e+01,-4e+01,0
2,-0.0008,3,-4e-21,6594,1,0.5,2e+01,-4e+01,0
2,-0.001,3,-4e-21,6594,1,0.6,2e+01,-4e+01,0
2,-0.001,3,-4e-21,6594,1,0.6,2e+01,-4e+01,0
2,-0.002,3,-4e-21,6594,1,0.7,2e+01,-4e+01,0
2,-0.002,3,-5e-21,6594,1,0.8,2e+01,-4e+01,0
2,-0.003,3,-5e-21,6594,1,0.8,2e+01,-4e+01,0
2,-0.003,3,-6e-21,2184,1,0.9,2e+01,-4e+01,0
2,-0.004,3,-8e-21,2184,1,1,2e+01,-4e+01,0
2,-0.004,3,-1e-20,2184,1,1,2e+01,-4e+01,0
2,-0.005,3,-1e-20,2184,1,1,2e+01,-4e+01,0
2,-0.005,3,-1e-20,2184,1,1,2e+01,-4e+01,0
2,-0.006,3,-2e-20,2184,1,1,2e+01,-4e+01,0
2,-0.006,3,-2e-20,2184,1,1,2e+01,-4e+01,0
2,-0.007,3,-2e-20,6584,1,1,2e+01,-4e+01,0
2,-0.007,3,-1e-20,6584,1,1,2e+01,-4e+01,0
2,-0.008,3,-1e-20,6584,1,2,2e+01,-4e+01,0
2,-0.008,3,-8e-21,6584,1,2,2e+01,-3e+01,0
2,-0.009,3,-6e-21,6584,1,2,2e+01,-3e+01,0
2,-0.01,3,-3e-21,6584,1,2,2e+01,-3e+01,0
2,-0.01,3,-4e-22,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,2e-21,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,5e-21,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,8e-21,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,1e-20,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,2e-20,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,2e-20,2174,1,2,2e+01,-3e+01,0
2,-0.01,3,1e-20,6574,1,2,2e+01,-3e+01,0
2,-0.01,3,7e-21,4374,1,2,2e+01,-3e+01,0
2,-0.01,3,-1e-24,4374,1,2,2e+01,-3e+01,0
2,-0.01,3,-7e-21,4374,1,2,2e+01,-3e+01,0
2,-0.01,3,-1e-20,4374,1,3,2e+01,-3e+01,0
2,-0.02,3,-2e-20,4374,1,3,2e+01,-3e+01,0
2,-0.02,3,-2e-20,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,-2e-20,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,-1e-20,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,-5e-21,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-21,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,1e-20,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,2e-20,8747,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-20,4364,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-20,4364,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-20,4364,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-20,4364,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-20,4364,1,3,2e+01,-3e+01,0
2,-0.02,3,3e-20,4364,1,4,2e+01,-3e+01,0
2,-0.02,3,3e-20,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,2e-20,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,8e-21,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,-3e-21,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,-1e-20,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,-3e-20,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,-4e-20,8737,1,4,2e+01,-3e+01,0
2,-0.02,3,-4e-20,4354,1,4,2e+01,-3e+01,0
2,-0.02,3,-4e-20,4354,1,4,2e+01,-3e+01,0
2,-0.02,3,-3e-20,4354,1,4,2e+01,-3e+01,0
2,-0.02,3,-2e-20,6553,1,4,2e+01,-3e+01,0
1,-0.02,3,-5e-21,6553,1,4,2e+01,-3e+01,0
1,-0.02,3,6e-21,6553,1,4,2e+01,-3e+01,0
1,-0.02,3,2e-20,6553,1,4,2e+01,-3e+01,0
1,-0.02,3,2e-20,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,1e-20,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,1e-20,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,8e-21,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,5e-21,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,3e-21,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,3e-22,2143,1,5,2e+01,-3e+01,0
1,-0.02,3,3e-21,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,7e-21,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,1e-20,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,2e-20,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,2e-20,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,3e-20,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,3e-20,6543,1,5,2e+01,-3e+01,0
1,-0.02,3,3e-20,2133,1,6,2e+01,-3e+01,0
1,-0.02,3,2e-20,2133,1,6,2e+01,-3e+01,0
1,-0.02,3,2e-20,2133,1,6,2e+01,-3e+01,0
