"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.10558486,6.016909708e-18,3,-6.06845974e-35,8778,1,0,22.5,-36.53850174,0
2.103684664,2.512317224e-05,3.000743151,-4.995142983e-22,8778,1,0.06894776225,22.50749969,-36.46996307,0
2.101784706,5.396044344e-06,3.001489639,-1.038400859e-21,8778,1,0.1378955245,22.51499939,-36.40142441,0
2.099884987,-5.910728578e-05,3.002239466,-1.616594452e-21,8778,1,0.2068432868,22.52249908,-36.33288574,0
2.097985506,-0.0001683370647,3.002992868,-2.23405166e-21,8778,1,0.2757912576,22.53000069,-36.26434708,0
2.096086502,-0.0003221772204,3.003749609,-2.890670296e-21,8778,1,0.3447390199,22.53750038,-36.19580841,0
2.094264507,-0.0005217129947,3.004501581,-3.778853459e-21,2194,1,0.4136867821,22.54500008,-36.12726974,0
2.090310812,-0.0007978900103,3.005849123,-4.182857679e-21,6594,1,0.4826345444,22.55249977,-36.05873108,0
2.085175991,-0.001126596704,3.007522106,-4.201982192e-21,6594,1,0.5515823364,22.55999947,-35.99019241,0
2.080029726,-0.001490130089,3.009202003,-4.268756832e-21,6594,1,0.6205300689,22.56749916,-35.92165375,0
2.074872017,-0.001888496103,3.010889053,-4.383293882e-21,6594,1,0.6894780397,22.57500076,-35.85311508,0
2.069702864,-0.002321537584,3.012583256,-4.54516925e-21,6594,1,0.7584258318,22.58250046,-35.78457642,0
2.064522505,-0.002789243124,3.014284611,-4.754518646e-21,6594,1,0.8273698092,22.59000015,-35.71604156,0
2.058544636,-0.003268533852,3.016250372,-5.529355851e-21,2184,1,0.8963175416,22.59749985,-35.6475029,0
2.050411701,-0.003713729326,3.018924236,-7.674412894e-21,2184,1,0.9652653337,22.60499954,-35.57896423,0
2.042263508,-0.004184204619,3.02160573,-9.727224759e-21,2184,1,1.034213066,22.61249924,-35.51042557,0
2.034100533,-0.004680002108,3.024294376,-1.168808063e-20,2184,1,1.103161097,22.62000084,-35.4418869,0
2.025922298,-0.005200928543,3.026990175,-1.355679392e-20,2184,1,1.172108769,22.62750053,-35.37334824,0
2.017729044,-0.00574702397,3.029693604,-1.533366512e-20,2184,1,1.241056561,22.63500023,-35.30480957,0
2.009521008,-0.006318251137,3.032404184,-1.701883074e-20,2184,1,1.310004354,22.64249992,-35.2362709,0
1.999362111,-0.006835836452,3.035787821,-1.533527424e-20,6584,1,1.378952146,22.64999962,-35.16773224,0
